x_mm,area_mm2,width_mm,height_mm,z_top_mm,z_bot_mm
1226.14,93912.2,562.10,231.40,729.50,579.50
1234.60,92223.4,560.48,228.65,729.50,579.50
1243.05,90536.6,558.86,225.90,729.50,579.50
1251.50,88861.5,557.23,223.15,729.50,579.50
1259.96,87220.2,555.61,220.52,729.50,579.50
1268.41,85580.3,553.98,217.89,729.50,579.50
1276.86,83942.8,552.36,215.21,729.50,579.50
1285.32,82326.5,550.73,212.59,729.50,579.50
1293.77,80700.3,549.11,209.93,729.50,579.50
1302.22,79061.9,547.48,207.21,729.50,579.50
1310.67,77404.2,545.86,204.33,729.50,579.50
1319.13,75732.3,544.23,201.37,729.50,579.50
1327.58,74033.1,542.61,198.26,729.50,579.50
1336.03,72308.9,540.98,194.98,729.50,579.50
1344.49,70572.8,539.36,191.62,729.50,579.50
1352.94,68818.7,537.74,188.15,729.50,579.50
1361.39,67041.8,536.11,184.52,729.50,579.50
1369.85,65253.1,534.49,180.81,729.50,579.50
1378.30,63431.8,532.86,176.93,729.50,579.50
1386.75,61585.8,531.24,172.89,729.50,579.50
1395.21,59739.6,529.61,168.75,729.50,579.50
1403.66,57863.0,527.99,164.51,729.50,579.50
1412.11,55971.7,526.36,160.10,729.50,579.50
1420.56,54069.6,524.74,155.59,729.50,579.50
1429.02,52130.3,523.11,150.91,729.50,579.50
1437.47,50175.1,521.49,146.06,729.50,579.50
1445.92,48203.1,519.87,141.09,729.50,579.50
1454.38,46207.1,518.24,136.02,729.50,579.50
1462.83,44200.7,516.62,130.80,729.50,579.50
1471.28,42168.1,514.99,125.42,729.50,579.50
1479.74,40107.5,513.37,119.86,729.50,579.50
1488.19,38032.5,511.74,114.18,729.50,579.50
1496.64,35934.7,510.12,108.31,729.50,579.50
1505.10,33812.3,508.49,102.33,729.50,579.50
1513.55,31679.1,506.87,96.21,729.50,579.50
1522.00,29526.0,505.24,89.90,729.50,579.50
1530.45,27336.3,503.62,83.38,729.50,579.50
1538.91,25133.3,502.00,76.72,729.50,579.50
1547.36,22920.2,500.37,69.91,729.50,579.50
1555.81,20670.1,498.75,62.91,729.50,579.50
1564.27,18401.3,497.12,55.74,729.50,579.50
1572.72,16403.8,485.22,50.57,729.50,579.50
1581.17,14735.1,460.68,47.69,729.50,579.50
1589.63,13055.1,433.91,44.70,729.50,579.50
1598.08,11363.6,404.43,41.52,729.50,579.50
1606.53,9667.0,371.53,38.09,729.50,579.50
1614.98,7979.2,334.48,34.26,729.50,579.50
1623.44,6309.4,295.08,30.22,729.50,579.50
1631.89,4580.8,250.17,25.38,729.50,579.50
1640.34,2727.5,191.41,19.35,729.50,579.50
1648.80,682.8,94.28,9.70,729.50,579.50
